"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-01",,,,,,,"5.8",",,0,2400","0.0",",,0","102.0",",,0",,,"6.1",",,0","1.1",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-02",,,,,,,"10.9",",,0,2400","0.0",",,0","25.0",",,0",,,"3.3",",,0","2.8",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-03",,,,,,,"12.7",",,0,2400","25.0",",,0","0.0","T,,0",,,"3.9",",,0","-1.7",",,0",,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-04",,,,,,,"0.0",",,0,2400","0.0",",,0","25.0",",,0",,,"-1.1",",,0","-7.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-05",,,,,,,"2.5",",,0,2400","28.0",",,0","25.0",",,0",,,"1.1",",,0","-7.2",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-06",,,,,,,"4.6",",,0,2400","0.0",",,0","0.0","T,,0",,,"2.2",",,0","0.6",",,0",,,,,,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-07",,,,,,,"0.3",",,0,2400","0.0",",,0","0.0","T,,0",,,"4.4",",,0","-4.4",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-08",,,,,,,"0.0",",,0,2400","0.0",",,0","25.0",",,0",,,"-3.3",",,0","-7.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-09",,,,,,,"0.0",",,0,2400","0.0",",,0","25.0",",,0",,,"-0.6",",,0","-7.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-10",,,,,,,"0.0",",,0,2400","0.0",",,0","25.0",",,0",,,"-4.4",",,0","-13.3",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-11",,,,,,,"0.0","T,,0,2400","0.0","T,,0","25.0",",,0",,,"-11.1",",,0","-13.3",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-12",,,,,,,"0.3",",,0,2400","0.0","T,,0","25.0",",,0",,,"-6.1",",,0","-12.2",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-13",,,,,,,"7.4",",,0,2400","114.0",",,0","76.0",",,0",,,"0.0",",,0","-7.2",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-14",,,,,,,"3.3",",,0,2400","74.0",",,0","127.0",",,0",,,"2.2",",,0","-0.6",",,0",,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-15",,,,,,,"16.5",",,0,2400","104.0",",,0","203.0",",,0",,,"0.6",",,0","-2.2",",,0",,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-16",,,,,,,"6.4",",,0,2400","53.0",",,0","356.0",",,0",,,"-0.6",",,0","-2.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-17",,,,,,,"3.0",",,0,2400","18.0",",,0","432.0",",,0",,,"3.3",",,0","-2.2",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-18",,,,,,,"0.0",",,0,2400","0.0",",,0","406.0",",,0",,,"3.9",",,0","2.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-19",,,,,,,"2.8",",,0,2400","0.0",",,0","279.0",",,0",,,"6.7",",,0","2.8",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-20",,,,,,,"3.0",",,0,2400","0.0",",,0","127.0",",,0",,,"7.2",",,0","1.7",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-21",,,,,,,"1.5",",,0,2400","0.0",",,0","76.0",",,0",,,"11.1",",,0","3.9",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-22",,,,,,,"27.7",",,0,2400","0.0",",,0","0.0","T,,0",,,"10.6",",,0","4.4",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-23",,,,,,,"1.0",",,0,2400","10.0",",,0","0.0",",,0",,,"4.4",",,0","-0.6",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-24",,,,,,,"0.0","T,,0,2400","0.0","T,,0","0.0",",,0",,,"1.7",",,0","-2.8",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-25",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0","T,,0",,,"1.7",",,0","-5.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-26",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0","T,,0",,,"1.1",",,0","-5.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-27",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0","T,,0",,,"1.7",",,0","-6.1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-28",,,,,,,"4.1",",,0,2400","30.0",",,0","0.0","T,,0",,,"1.1",",,0","-1.1",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-29",,,,,,,"0.8",",,0,2400","8.0",",,0","51.0",",,0",,,"2.2",",,0","-1.1",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-30",,,,,,,"0.0","T,,0,2400","0.0",",,0","51.0",",,0",,,"4.4",",,0","0.6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-01-31",,,,,,,"0.5",",,0,2400","0.0",",,0","0.0","T,,0",,,"7.8",",,0","3.3",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-01",,,,,,,"8.1",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","6.1",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-02",,,,,,,"9.4",",,0,2400","0.0",",,0","0.0",",,0",,,"10.0",",,0","3.9",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-03",,,,,,,"4.1",",,0,2400","0.0","T,,0","0.0",",,0",,,"4.4",",,0","2.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-04",,,,,,,"2.3",",,0,2400","0.0","T,,0","0.0",",,0",,,"7.2",",,0","2.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-05",,,,,,,"0.5",",,0,2400","0.0",",,0","0.0",",,0",,,"8.3",",,0","6.1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-06",,,,,,,"5.8",",,0,2400","0.0",",,0","0.0",",,0",,,"10.0",",,0","6.7",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-07",,,,,,,"15.7",",,0,2400","0.0",",,0","0.0",",,0",,,"8.3",",,0","1.7",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-08",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"5.0",",,0","-1.7",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-09",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"6.7",",,0","-1.1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-10",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"7.2",",,0","1.1",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-11",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"8.3",",,0","0.6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-12",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"7.8",",,0","-0.6",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-13",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"10.6",",,0","0.6",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
